predictor,pearson_r,pearson_p,spearman_rho,spearman_p
nHrRHa90ST25.30,0.44343631064937294,0.0046924505342140965,0.5510402254188936,0.0002775849068226641
nHrRHa85ST25.30,0.41108826447706875,0.009328346053538295,0.5503054510638796,0.0002839413961179506
nHrRHa80ST25.30,0.38000905467718554,0.017022047648791436,0.5444587988206274,0.00033936334973437755
nHrST25.30,0.32227066482776445,0.04540992075294608,0.4207096145812115,0.007655848556723001
nHrST25.35,0.2773467815980759,0.08737804365071064,0.3413778098047487,0.033428417571626644
nHrRHa80,0.254523440427218,0.1178973773221949,0.32257640719019104,0.0451940379242379
canCover,0.307995828440137,0.05645408940068175,0.31664984116849093,0.04952937550711668
nHrRHa85,0.23975925033369688,0.1415290613205838,0.27602704260372357,0.08895668964039322
nHrRHa90,0.22954561811480717,0.15980633743107722,0.2741853159299268,0.09119643725724143
avgST,0.24652823145272934,0.13029539627041428,0.25600678961091783,0.11569823952200697
avgSTmx,0.24563568641811054,0.13173743068848337,0.25004357925050286,0.12472990889212979
avgSTmin,0.2472570332954699,0.12912664810063867,0.24911825350492117,0.12617733578389673
avgRH,0.24608485345772907,0.13101026203249014,0.2478844858441457,0.12812669885252512
nHrSTa30,0.17595281988762998,0.2839621866198743,0.21010418469054012,0.1992132602481671
avgHTR,-0.0639407002176628,0.6989679790160853,-0.08564403845216646,0.6041795583462245
cumSRad,0.015173874740369787,0.9269499826943317,-0.0640531043885951,0.6984636683586523
cumETin,0.17171442932412403,0.295904933683972,0.05676480441004559,0.7314184081738497
avgETin,0.17171442952272398,0.2959049331169252,0.05676480441004559,0.7314184081738497
nDaysGWET,0.05714003709772741,0.729709511974922,-0.046368553653274344,0.7792466432024275
cumGWET,0.050585560834401994,0.7597383525895455,-0.04457211247630317,0.7875985949802707
avgGWET,0.05058556171795572,0.7597383485169905,-0.04457211247630317,0.7875985949802707
cumDRnI,-0.049006267924235354,0.7670278753211996,0.043391888184406195,0.7930984910260797
avgDRnI,-0.049006267914530485,0.767027875366056,0.043391888184406195,0.7930984910260797
dap,-0.07697230771406777,0.641398468334933,0.0038046946337383066,0.9816603943606734
